time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-09-08 17:46:09.475 UTC, ,250,4036898,11280,882520,8400, ,281, ,128, , , , , , , , , ,267,42, , , ,253,251,50, ,47, , , , , , , , , , , ,6, , ,4327746417,23017,3089,4327738619,5,8,2,15,85207925,1927704576,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85207925, ,1599241804796, , , , ,3145728,4327746742, , , ,3,66,114,66, ,66, , ,3,69, , , , ,2, , , , , , , , ,26266,66, , , , , , ,2,8,683931200, , , , , , , ,139, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-08 17:47:09.477 UTC, ,250,4036898,11280,882520,8400, ,281, ,114, , , , , , , , , ,267,42, , , ,253,251,50, ,35, , , , , , , , , , , ,2, , ,4327758394,23019,5839,4327755314,2,3,2,8,85219902,1927671808,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85219902, ,1599241804796, , , , ,3145728,4327758719, , , ,5,62,122,62, ,62, , ,3,65, , , , ,2, , , , , , , , ,11977,62, , , , , , ,2,5,691087096, , , , , , , ,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-08 17:48:09.477 UTC, ,250,4036898,11280,882520,8400, ,281, ,126, , , , , , , , , ,267,42, , , ,253,251,50, ,47, , , , , , , , , , , ,5, , ,4327778833,23024,5975,4327775931,5,7,2,13,85240341,1927634944,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85240341, ,1599241804796, , , , ,3145728,4327779158, , , ,3,65,120,65, ,65, , ,3,68, , , , ,2, , , , , , , , ,20439,65, , , , , , ,2,7,700524480, , , , , , , ,138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-08 17:49:09.478 UTC, ,250,4036898,11280,882520,8400, ,281, ,115, , , , , , , , , ,267,42, , , ,253,251,50, ,35, , , , , , , , , , , ,2, , ,4327791183,23026,6352,4327788243,2,3,2,8,85252691,1927606272,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85252691, ,1599241804796, , , , ,3145728,4327791508, , , ,5,63,121,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,12350,63, , , , , , ,3,9,645185856, , , , , , , ,121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-08 17:50:09.479 UTC, ,250,4036898,11280,882520,8400, ,281, ,168, , , , , , , , , ,267,42, , , ,253,251,50, ,74, , , , , , , , , , , ,2, , ,4327803509,23028,6290,4327800531,2,3,2,8,85265017,1927491584,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85265017, ,1599241804796, , , , ,3145728,4327803834, , , ,3,62,118,62, ,62, , ,3,65, , , , ,2, , , , , , , , ,12326,62, , , , , , ,2,8,691382608, , , , , , , ,170, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,88, ,60, , , , , , 
2020-09-08 17:51:09.479 UTC, ,250,4036898,11280,882520,8400, ,281, ,137, , , , , , , , , ,267,42, , , ,253,251,50, ,50, , , , , , , , , , , ,5, , ,4327825176,23033,2873,4327822069,5,8,2,15,85286684,1927438336,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85286684, ,1599241804796, , , , ,3145728,4327825501, , , ,10,66,140,66, ,66, , ,3,69, , , , ,2, , , , , , , , ,21667,66, , , , , , ,2,6,700146920, , , , , , , ,147, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46,2,61, , , , , , 
2020-09-08 17:52:09.480 UTC, ,250,4036898,11280,882520,8400, ,281, ,114, , , , , , , , , ,267,42, , , ,253,251,50, ,35, , , , , , , , , , , ,2, , ,4327837768,23035,6150,4327834384,2,3,2,8,85299276,1927405568,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85299276, ,1599241804796, , , , ,3145728,4327838093, , , ,4,62,116,62, ,62, , ,3,65, , , , ,2, , , , , , , , ,12592,62, , , , , , ,3,9,644569928, , , , , , , ,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-08 17:53:09.481 UTC, ,250,4036898,11280,882520,8400, ,281, ,129, , , , , , , , , ,267,42, , , ,253,251,50, ,51, , , , , , , , , , , ,6, , ,4327863300,23041,5522,4327860198,6,8,3,17,85324808,1927368704,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85324808, ,1599241804796, , , , ,3145728,4327863625, , , ,9,65,129,65, ,65, , ,3,68, , , , ,2, , , , , , , , ,25532,65, , , , , , ,2,9,654106368, , , , , , , ,143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,59, , , , , , 
2020-09-08 17:54:09.481 UTC, ,250,4036898,11280,882520,8400, ,281, ,115, , , , , , , , , ,267,42, , , ,253,251,50, ,35, , , , , , , , , , , ,2, , ,4327875504,23043,5906,4327872364,2,3,2,8,85337012,1927335936,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85337012, ,1599241804796, , , , ,3145728,4327875829, , , ,3,63,117,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,12204,63, , , , , , ,2,12,663452368, , , , , , , ,121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-08 17:55:09.482 UTC, ,250,4036898,11280,882520,8400, ,281, ,174, , , , , , , , , ,267,42, , , ,253,251,50, ,81, , , , , , , , , , , ,4, , ,4327893462,23047,5743,4327890246,4,6,2,12,85354970,1927221248,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85354970, ,1599241804796, , , , ,3145728,4327893787, , , ,3,64,124,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,17958,64, , , , , , ,2,5,705842976, , , , , , , ,180, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86, ,60, , , , , , 
