time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-09-15 17:39:18.030 UTC, ,250,3991714,11592,837200,8536, ,240, ,122, , , , , , , , , ,234,43, , , ,209,216,49, ,43, , , , , , , , , , , ,4, , ,21480895918,63322,2440,21480893473,4,6,2,12,58486873,1502670848,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58486873, ,1599241804796, , , , ,3145728,21480897678, , , ,3,64,116,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,15948,64, , , , , , ,2,13,295675272, , , , , , , ,132, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-15 17:40:18.032 UTC, ,250,3991714,11592,837200,8536, ,240, ,126, , , , , , , , , ,234,43, , , ,209,216,49, ,39, , , , , , , , , , , ,2, , ,21480907381,63324,5632,21480904669,2,3,2,8,58498744,1503997952,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58498744, ,1599241804796, , , , ,3145728,21480909039, , , ,3,62,120,62, ,62, , ,3,65, , , , ,2, , , , , , , , ,11361,62, , , , , , ,3,22,275939592, , , , , , , ,128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,60, , , , , , 
2020-09-15 17:41:18.033 UTC, ,250,3991714,11592,837200,8536, ,240, ,161, , , , , , , , , ,234,43, , , ,209,216,49, ,75, , , , , , , , , , , ,3, , ,21480920993,63327,5624,21480918522,3,4,2,9,58512458,1503940608,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58512458, ,1599241804796, , , , ,3145728,21480922855, , , ,6,64,125,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,13816,64, , , , , , ,2,5,291910088, , , , , , , ,169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, ,61, , , , , , 
2020-09-15 17:42:18.034 UTC, ,250,3991714,11592,837200,8536, ,240, ,118, , , , , , , , , ,234,43, , , ,209,216,49, ,39, , , , , , , , , , , ,3, , ,21480935230,63330,5383,21480932428,3,5,2,11,58526695,1503862784,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58526695, ,1599241804796, , , , ,3145728,21480936990, , , ,3,63,112,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,14135,63, , , , , , ,2,6,306402176, , , , , , , ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-15 17:43:18.035 UTC, ,250,3991714,11592,837200,8536, ,240, ,123, , , , , , , , , ,234,43, , , ,209,216,49, ,43, , , , , , , , , , , ,4, , ,21480951898,63334,2620,21480949273,4,6,2,12,58542853,1503805440,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58542853, ,1599241804796, , , , ,3145728,21480953760, , , ,5,65,128,65, ,65, , ,3,68, , , , ,2, , , , , , , , ,16770,65, , , , , , ,2,14,323123872, , , , , , , ,133, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,61, , , , , , 
2020-09-15 17:44:18.036 UTC, ,250,3991714,11592,837200,8536, ,240, ,134, , , , , , , , , ,234,43, , , ,209,216,49, ,55, , , , , , , , , , , ,7, , ,21480977046,63341,2361,21480975008,7,9,3,18,58567899,1503735808,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58567899, ,1599241804796, , , , ,3145728,21480978806, , , ,5,67,138,67, ,67, , ,3,70, , , , ,2, , , , , , , , ,25046,67, , , , , , ,3,8,272087248, , , , , , , ,150, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-15 17:45:18.036 UTC, ,250,3991714,11592,837200,8536, ,240, ,134, , , , , , , , , ,234,43, , , ,209,216,49, ,47, , , , , , , , , , , ,4, , ,21480992752,63345,2666,21480990653,4,6,2,12,58583605,1503621120,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58583605, ,1599241804796, , , , ,3145728,21480994512, , , ,3,64,120,64, ,64, , ,3,67, , , , ,2, , , , , , , , ,15706,64, , , , , , ,2,6,318801520, , , , , , , ,140, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,60, , , , , , 
2020-09-15 17:46:18.037 UTC, ,250,3991714,11592,837200,8536, ,240, ,160, , , , , , , , , ,234,43, , , ,209,216,49, ,75, , , , , , , , , , , ,3, , ,21481006482,63348,5248,21481003815,3,5,2,11,58597335,1503571968,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58597335, ,1599241804796, , , , ,3145728,21481008242, , , ,3,63,124,63, ,63, , ,3,66, , , , ,2, , , , , , , , ,13730,63, , , , , , ,2,5,334580800, , , , , , , ,168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, ,60, , , , , , 
2020-09-15 17:47:18.038 UTC, ,250,3993978,11592,839464,8536, ,241, ,147, , , , , , , , , ,235,43, , , ,210,217,49, ,67, , , , , , , , , , , ,11, , ,21481039619,63358,2346,21481037268,10,15,2,24,58630472,1503465472,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58630472, ,1599241804796, , , , ,3145728,21481041379, , , ,4,70,121,70, ,70, , ,3,73, , , , ,2, , , , , , , , ,33137,70, , , , , , ,3,12,281590072, , , , , , , ,168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
2020-09-15 17:48:18.039 UTC, ,250,3993978,11592,839464,8536, ,241, ,126, , , , , , , , , ,235,43, , , ,210,217,49, ,47, , , , , , , , , , , ,5, , ,21481057630,63363,2707,21481055490,5,7,2,13,58648483,1503404032,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58648483, ,1599241804796, , , , ,3145728,21481059390, , , ,3,65,113,65, ,65, , ,3,68, , , , ,2, , , , , , , , ,18011,65, , , , , , ,2,7,295423304, , , , , , , ,138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,60, , , , , , 
